Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestAll,Chrome 114.0.0.0,,,2023-06-24 20:05:51,2023-06-24 20:06:23,"31,818s",PASSED
,,,,,,,
Test Cases/Keywords,Chrome 114.0.0.0,,,2023-06-24 20:05:51,2023-06-24 20:06:04,"13,081s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-24 20:05:52,2023-06-24 20:05:54,"1,996s",PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-24 20:05:54,2023-06-24 20:05:55,"1,475s",PASSED
"click(findTestObject(""Object Repository/KatalonDemo/InkMakeAppointment""))",Chrome 114.0.0.0,,,2023-06-24 20:05:55,2023-06-24 20:05:56,"1,103s",PASSED
"setText(findTestObject(""Object Repository/KatalonDemo/inputUsername""), Username)",Chrome 114.0.0.0,,,2023-06-24 20:05:56,2023-06-24 20:05:57,"0,819s",PASSED
"setText(findTestObject(""Object Repository/KatalonDemo/inputPassword""), Password)",Chrome 114.0.0.0,,,2023-06-24 20:05:57,2023-06-24 20:05:58,"0,655s",PASSED
"click(findTestObject(""Object Repository/KatalonDemo/button_Login""))",Chrome 114.0.0.0,,,2023-06-24 20:05:58,2023-06-24 20:05:58,"0,621s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/KatalonDemo/SelectFacility""), ""Seoul CURA Healthcare Center"", true)",Chrome 114.0.0.0,,,2023-06-24 20:05:58,2023-06-24 20:05:59,"0,862s",PASSED
"check(findTestObject(""Object Repository/KatalonDemo/input_Apply for hospital readmission_hospit_63901f""))",Chrome 114.0.0.0,,,2023-06-24 20:05:59,2023-06-24 20:05:59,"0,304s",PASSED
"check(findTestObject(""Object Repository/KatalonDemo/label_Medicaid""))",Chrome 114.0.0.0,,,2023-06-24 20:05:59,2023-06-24 20:06:00,"0,304s",PASSED
"setText(findTestObject(""Object Repository/KatalonDemo/input_Visit Date (Required)_visit_date""), ""26.06.2023"")",Chrome 114.0.0.0,,,2023-06-24 20:06:00,2023-06-24 20:06:00,"0,655s",PASSED
"click(findTestObject(""Object Repository/KatalonDemo/td_26""))",Chrome 114.0.0.0,,,2023-06-24 20:06:00,2023-06-24 20:06:01,"0,506s",PASSED
"setText(findTestObject(""Object Repository/KatalonDemo/textarea_Comment_comment""), ""TestComment"")",Chrome 114.0.0.0,,,2023-06-24 20:06:01,2023-06-24 20:06:02,"0,755s",PASSED
